Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
44,19/2/2023,CUST044,Female,22,Clothing,1,25,25
103,17/1/2023,CUST103,Female,59,Clothing,1,25,25
185,27/2/2023,CUST185,Male,24,Clothing,1,25,25
191,18/10/2023,CUST191,Male,64,Beauty,1,25,25
201,9/10/2023,CUST201,Male,56,Electronics,1,25,25
204,28/9/2023,CUST204,Male,39,Beauty,1,25,25
205,7/11/2023,CUST205,Female,43,Clothing,1,25,25
206,5/8/2023,CUST206,Male,61,Clothing,1,25,25
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25
230,23/4/2023,CUST230,Male,54,Beauty,1,25,25
232,6/2/2023,CUST232,Female,43,Beauty,1,25,25
236,28/4/2023,CUST236,Female,54,Clothing,1,25,25
242,2/5/2023,CUST242,Male,21,Clothing,1,25,25
285,15/8/2023,CUST285,Female,31,Electronics,1,25,25
309,23/12/2023,CUST309,Female,26,Beauty,1,25,25
310,12/10/2023,CUST310,Female,28,Beauty,1,25,25
318,24/10/2023,CUST318,Male,61,Clothing,1,25,25
347,3/8/2023,CUST347,Male,42,Electronics,1,25,25
362,27/11/2023,CUST362,Male,50,Clothing,1,25,25
363,3/6/2023,CUST363,Male,64,Beauty,1,25,25
371,21/2/2023,CUST371,Female,20,Beauty,1,25,25
379,5/2/2023,CUST379,Female,47,Clothing,1,25,25
388,10/11/2023,CUST388,Male,50,Electronics,1,25,25
397,10/3/2023,CUST397,Female,30,Beauty,1,25,25
423,8/3/2023,CUST423,Female,27,Clothing,1,25,25
427,15/8/2023,CUST427,Male,25,Electronics,1,25,25
454,22/2/2023,CUST454,Female,46,Beauty,1,25,25
468,9/12/2023,CUST468,Male,40,Electronics,1,25,25
486,9/4/2023,CUST486,Female,35,Electronics,1,25,25
512,7/11/2023,CUST512,Female,57,Beauty,1,25,25
544,23/12/2023,CUST544,Female,27,Electronics,1,25,25
558,8/10/2023,CUST558,Female,41,Clothing,1,25,25
585,1/5/2023,CUST585,Female,24,Clothing,1,25,25
657,11/2/2023,CUST657,Male,40,Clothing,1,25,25
658,12/3/2023,CUST658,Male,59,Clothing,1,25,25
739,29/11/2023,CUST739,Male,36,Beauty,1,25,25
744,7/5/2023,CUST744,Male,40,Electronics,1,25,25
764,25/3/2023,CUST764,Female,40,Clothing,1,25,25
787,22/1/2023,CUST787,Male,41,Electronics,1,25,25
790,8/8/2023,CUST790,Male,62,Clothing,1,25,25
791,5/12/2023,CUST791,Female,51,Beauty,1,25,25
825,26/8/2023,CUST825,Female,46,Beauty,1,25,25
855,1/9/2023,CUST855,Male,54,Beauty,1,25,25
877,19/6/2023,CUST877,Female,58,Clothing,1,25,25
907,8/1/2023,CUST907,Female,45,Electronics,1,25,25
945,13/2/2023,CUST945,Male,30,Beauty,1,25,25
952,13/11/2023,CUST952,Female,57,Clothing,1,25,25
955,14/7/2023,CUST955,Male,58,Clothing,1,25,25
967,17/4/2023,CUST967,Male,62,Beauty,1,25,25
979,2/1/2023,CUST979,Female,19,Beauty,1,25,25
989,28/12/2023,CUST989,Female,44,Electronics,1,25,25
3,13/1/2023,CUST003,Male,50,Electronics,1,30,30
6,25/4/2023,CUST006,Female,45,Beauty,1,30,30
29,18/8/2023,CUST029,Female,42,Electronics,1,30,30
45,3/7/2023,CUST045,Female,55,Electronics,1,30,30
57,18/11/2023,CUST057,Female,63,Beauty,1,30,30
66,27/4/2023,CUST066,Female,45,Electronics,1,30,30
90,6/5/2023,CUST090,Female,51,Electronics,1,30,30
100,16/6/2023,CUST100,Male,41,Electronics,1,30,30
116,23/8/2023,CUST116,Female,23,Clothing,1,30,30
140,5/8/2023,CUST140,Male,38,Electronics,1,30,30
195,5/2/2023,CUST195,Male,52,Clothing,1,30,30
255,8/4/2023,CUST255,Male,48,Clothing,1,30,30
268,20/2/2023,CUST268,Female,28,Electronics,1,30,30
305,16/5/2023,CUST305,Female,18,Beauty,1,30,30
344,21/1/2023,CUST344,Female,42,Beauty,1,30,30
345,14/11/2023,CUST345,Male,62,Electronics,1,30,30
376,16/5/2023,CUST376,Female,64,Beauty,1,30,30
387,4/6/2023,CUST387,Male,44,Beauty,1,30,30
396,23/2/2023,CUST396,Female,55,Beauty,1,30,30
438,19/1/2023,CUST438,Female,42,Clothing,1,30,30
451,16/12/2023,CUST451,Female,45,Electronics,1,30,30
483,25/4/2023,CUST483,Male,55,Clothing,1,30,30
485,4/12/2023,CUST485,Male,24,Electronics,1,30,30
489,23/5/2023,CUST489,Male,44,Electronics,1,30,30
518,11/5/2023,CUST518,Female,40,Clothing,1,30,30
566,2/12/2023,CUST566,Female,64,Clothing,1,30,30
579,21/9/2023,CUST579,Female,38,Electronics,1,30,30
601,10/4/2023,CUST601,Male,19,Clothing,1,30,30
617,26/8/2023,CUST617,Male,34,Electronics,1,30,30
650,1/1/2024,CUST650,Male,55,Electronics,1,30,30
659,19/3/2023,CUST659,Female,39,Electronics,1,30,30
670,5/10/2023,CUST670,Male,27,Beauty,1,30,30
733,29/8/2023,CUST733,Male,34,Beauty,1,30,30
734,10/1/2023,CUST734,Female,27,Clothing,1,30,30
747,15/11/2023,CUST747,Male,23,Beauty,1,30,30
749,3/5/2023,CUST749,Male,42,Beauty,1,30,30
753,28/2/2023,CUST753,Female,32,Clothing,1,30,30
772,12/7/2023,CUST772,Male,26,Electronics,1,30,30
793,5/2/2023,CUST793,Male,54,Beauty,1,30,30
802,5/7/2023,CUST802,Female,46,Beauty,1,30,30
804,24/8/2023,CUST804,Male,42,Electronics,1,30,30
874,26/6/2023,CUST874,Male,60,Beauty,1,30,30
878,30/6/2023,CUST878,Female,20,Clothing,1,30,30
879,26/12/2023,CUST879,Male,23,Clothing,1,30,30
894,5/9/2023,CUST894,Male,52,Electronics,1,30,30
901,10/4/2023,CUST901,Male,31,Electronics,1,30,30
926,14/8/2023,CUST926,Male,22,Electronics,1,30,30
933,3/2/2023,CUST933,Male,22,Beauty,1,30,30
940,28/1/2023,CUST940,Female,20,Electronics,1,30,30
974,3/5/2023,CUST974,Male,47,Beauty,1,30,30
995,30/4/2023,CUST995,Female,41,Clothing,1,30,30
7,13/3/2023,CUST007,Male,46,Clothing,2,25,50
18,30/4/2023,CUST018,Female,47,Electronics,2,25,50
19,16/9/2023,CUST019,Female,62,Clothing,2,25,50
25,26/12/2023,CUST025,Female,64,Beauty,1,50,50
27,3/8/2023,CUST027,Female,38,Beauty,2,25,50
40,22/6/2023,CUST040,Male,45,Beauty,1,50,50
41,22/2/2023,CUST041,Male,34,Clothing,2,25,50
59,5/7/2023,CUST059,Male,62,Clothing,1,50,50
63,5/2/2023,CUST063,Male,57,Electronics,2,25,50
81,17/5/2023,CUST081,Male,40,Electronics,1,50,50
102,28/4/2023,CUST102,Female,47,Beauty,2,25,50
106,18/5/2023,CUST106,Female,46,Clothing,1,50,50
113,13/9/2023,CUST113,Female,41,Electronics,2,25,50
120,7/5/2023,CUST120,Male,60,Beauty,1,50,50
127,24/7/2023,CUST127,Female,33,Clothing,2,25,50
134,25/1/2023,CUST134,Male,49,Electronics,1,50,50
135,26/2/2023,CUST135,Male,20,Clothing,2,25,50
141,2/11/2023,CUST141,Female,22,Electronics,1,50,50
143,17/7/2023,CUST143,Female,45,Clothing,1,50,50
151,15/12/2023,CUST151,Male,29,Clothing,1,50,50
170,2/6/2023,CUST170,Female,25,Clothing,2,25,50
172,17/9/2023,CUST172,Male,32,Beauty,2,25,50
189,30/1/2023,CUST189,Male,63,Beauty,1,50,50
207,19/4/2023,CUST207,Female,42,Beauty,2,25,50
224,23/6/2023,CUST224,Female,25,Clothing,1,50,50
226,29/10/2023,CUST226,Female,61,Clothing,1,50,50
234,20/11/2023,CUST234,Female,62,Electronics,2,25,50
246,20/4/2023,CUST246,Female,48,Electronics,2,25,50
249,20/10/2023,CUST249,Male,20,Clothing,1,50,50
250,23/10/2023,CUST250,Male,48,Electronics,1,50,50
258,4/12/2023,CUST258,Female,37,Clothing,1,50,50
261,5/8/2023,CUST261,Male,21,Clothing,2,25,50
273,8/5/2023,CUST273,Female,22,Beauty,1,50,50
286,9/10/2023,CUST286,Male,55,Electronics,2,25,50
306,21/8/2023,CUST306,Male,54,Electronics,1,50,50
307,27/5/2023,CUST307,Female,26,Electronics,2,25,50
316,22/4/2023,CUST316,Female,48,Clothing,2,25,50
321,10/6/2023,CUST321,Female,26,Electronics,2,25,50
325,2/9/2023,CUST325,Female,52,Electronics,2,25,50
339,3/3/2023,CUST339,Female,22,Electronics,2,25,50
343,1/11/2023,CUST343,Male,21,Electronics,2,25,50
349,26/10/2023,CUST349,Female,57,Beauty,1,50,50
359,22/7/2023,CUST359,Male,50,Clothing,1,50,50
367,5/1/2023,CUST367,Female,57,Electronics,1,50,50
375,17/9/2023,CUST375,Male,32,Clothing,1,50,50
389,1/12/2023,CUST389,Male,21,Clothing,2,25,50
391,5/1/2023,CUST391,Male,19,Beauty,2,25,50
429,28/12/2023,CUST429,Male,64,Electronics,2,25,50
434,8/2/2023,CUST434,Female,43,Electronics,2,25,50
446,7/6/2023,CUST446,Male,21,Electronics,1,50,50
450,18/4/2023,CUST450,Female,59,Beauty,2,25,50
460,2/5/2023,CUST460,Male,40,Beauty,1,50,50
473,25/2/2023,CUST473,Male,64,Beauty,1,50,50
493,25/11/2023,CUST493,Male,41,Beauty,2,25,50
505,20/1/2023,CUST505,Male,24,Beauty,1,50,50
525,18/12/2023,CUST525,Female,47,Beauty,2,25,50
527,11/4/2023,CUST527,Male,57,Clothing,2,25,50
542,17/6/2023,CUST542,Female,20,Beauty,1,50,50
545,1/6/2023,CUST545,Male,27,Clothing,2,25,50
556,4/6/2023,CUST556,Female,18,Electronics,1,50,50
560,5/6/2023,CUST560,Female,25,Electronics,1,50,50
562,18/4/2023,CUST562,Male,54,Electronics,2,25,50
571,12/12/2023,CUST571,Female,41,Electronics,1,50,50
574,31/8/2023,CUST574,Female,63,Electronics,2,25,50
586,11/12/2023,CUST586,Male,50,Electronics,1,50,50
606,5/5/2023,CUST606,Male,22,Electronics,1,50,50
618,26/1/2023,CUST618,Female,27,Beauty,1,50,50
627,14/10/2023,CUST627,Male,57,Clothing,1,50,50
629,12/6/2023,CUST629,Male,62,Electronics,2,25,50
665,20/4/2023,CUST665,Male,57,Clothing,1,50,50
685,2/6/2023,CUST685,Male,57,Electronics,2,25,50
694,20/5/2023,CUST694,Female,39,Electronics,2,25,50
705,7/3/2023,CUST705,Male,60,Electronics,2,25,50
712,6/12/2023,CUST712,Female,57,Beauty,2,25,50
730,4/8/2023,CUST730,Female,36,Clothing,2,25,50
737,29/6/2023,CUST737,Female,33,Clothing,1,50,50
751,31/8/2023,CUST751,Female,42,Clothing,2,25,50
762,7/11/2023,CUST762,Female,24,Electronics,2,25,50
763,28/2/2023,CUST763,Male,34,Clothing,2,25,50
770,22/10/2023,CUST770,Male,32,Clothing,1,50,50
771,13/12/2023,CUST771,Male,24,Electronics,2,25,50
774,12/4/2023,CUST774,Female,40,Clothing,2,25,50
780,22/2/2023,CUST780,Male,52,Electronics,2,25,50
792,9/7/2023,CUST792,Female,20,Beauty,1,50,50
798,4/8/2023,CUST798,Male,61,Clothing,1,50,50
811,19/5/2023,CUST811,Male,61,Beauty,2,25,50
836,19/4/2023,CUST836,Female,22,Clothing,1,50,50
840,24/5/2023,CUST840,Male,62,Clothing,2,25,50
846,22/9/2023,CUST846,Male,42,Beauty,1,50,50
849,4/5/2023,CUST849,Male,32,Clothing,2,25,50
851,8/9/2023,CUST851,Male,32,Electronics,2,25,50
854,20/12/2023,CUST854,Male,29,Clothing,1,50,50
857,31/12/2023,CUST857,Male,60,Electronics,2,25,50
863,24/4/2023,CUST863,Female,30,Electronics,2,25,50
866,5/5/2023,CUST866,Male,24,Electronics,1,50,50
882,6/6/2023,CUST882,Female,64,Electronics,2,25,50
889,2/10/2023,CUST889,Female,35,Electronics,1,50,50
890,20/12/2023,CUST890,Male,34,Electronics,2,25,50
892,9/4/2023,CUST892,Male,20,Electronics,1,50,50
893,21/4/2023,CUST893,Male,49,Electronics,1,50,50
896,29/10/2023,CUST896,Female,30,Electronics,2,25,50
902,1/6/2023,CUST902,Female,54,Beauty,1,50,50
906,4/6/2023,CUST906,Female,20,Clothing,1,50,50
916,24/12/2023,CUST916,Female,32,Electronics,1,50,50
919,9/9/2023,CUST919,Female,22,Beauty,2,25,50
922,21/10/2023,CUST922,Male,41,Electronics,1,50,50
935,9/9/2023,CUST935,Female,34,Beauty,1,50,50
941,19/3/2023,CUST941,Female,57,Clothing,2,25,50
944,5/6/2023,CUST944,Male,44,Clothing,2,25,50
949,2/8/2023,CUST949,Female,41,Electronics,2,25,50
958,2/6/2023,CUST958,Male,62,Electronics,2,25,50
963,14/11/2023,CUST963,Female,55,Beauty,1,50,50
973,22/3/2023,CUST973,Male,60,Clothing,1,50,50
985,30/5/2023,CUST985,Female,19,Electronics,2,25,50
996,16/5/2023,CUST996,Male,62,Clothing,1,50,50
80,10/12/2023,CUST080,Female,64,Clothing,2,30,60
95,24/11/2023,CUST095,Female,32,Clothing,2,30,60
123,15/5/2023,CUST123,Female,40,Electronics,2,30,60
148,9/5/2023,CUST148,Male,18,Clothing,2,30,60
162,21/8/2023,CUST162,Male,39,Clothing,2,30,60
178,4/10/2023,CUST178,Male,40,Clothing,2,30,60
214,10/12/2023,CUST214,Male,20,Beauty,2,30,60
228,28/4/2023,CUST228,Female,59,Electronics,2,30,60
247,4/10/2023,CUST247,Male,41,Electronics,2,30,60
260,1/7/2023,CUST260,Male,28,Beauty,2,30,60
263,28/8/2023,CUST263,Male,23,Beauty,2,30,60
266,1/12/2023,CUST266,Female,19,Electronics,2,30,60
289,30/11/2023,CUST289,Male,53,Electronics,2,30,60
304,19/7/2023,CUST304,Female,37,Electronics,2,30,60
315,1/6/2023,CUST315,Male,47,Clothing,2,30,60
370,16/10/2023,CUST370,Male,23,Electronics,2,30,60
399,1/3/2023,CUST399,Female,64,Beauty,2,30,60
415,27/1/2023,CUST415,Male,53,Clothing,2,30,60
448,21/1/2023,CUST448,Female,54,Beauty,2,30,60
456,14/10/2023,CUST456,Male,57,Electronics,2,30,60
478,13/4/2023,CUST478,Female,58,Clothing,2,30,60
495,24/7/2023,CUST495,Male,24,Beauty,2,30,60
499,15/1/2023,CUST499,Male,46,Beauty,2,30,60
501,14/5/2023,CUST501,Male,39,Electronics,2,30,60
528,6/7/2023,CUST528,Female,36,Clothing,2,30,60
548,9/4/2023,CUST548,Female,51,Clothing,2,30,60
563,9/8/2023,CUST563,Male,20,Clothing,2,30,60
565,7/11/2023,CUST565,Female,45,Beauty,2,30,60
573,19/9/2023,CUST573,Male,49,Beauty,2,30,60
581,21/11/2023,CUST581,Female,48,Beauty,2,30,60
588,26/4/2023,CUST588,Male,38,Electronics,2,30,60
593,6/5/2023,CUST593,Male,35,Electronics,2,30,60
675,4/8/2023,CUST675,Female,45,Clothing,2,30,60
681,14/7/2023,CUST681,Female,43,Electronics,2,30,60
701,14/12/2023,CUST701,Female,52,Beauty,2,30,60
719,4/4/2023,CUST719,Female,42,Clothing,2,30,60
834,4/4/2023,CUST834,Female,56,Beauty,2,30,60
871,31/8/2023,CUST871,Male,62,Beauty,2,30,60
884,29/4/2023,CUST884,Female,26,Clothing,2,30,60
900,21/2/2023,CUST900,Male,21,Clothing,2,30,60
959,29/10/2023,CUST959,Female,42,Electronics,2,30,60
960,8/8/2023,CUST960,Male,59,Clothing,2,30,60
962,19/10/2023,CUST962,Male,44,Clothing,2,30,60
981,19/8/2023,CUST981,Female,30,Electronics,2,30,60
992,21/8/2023,CUST992,Female,57,Electronics,2,30,60
12,30/10/2023,CUST012,Male,35,Beauty,3,25,75
37,23/5/2023,CUST037,Female,18,Beauty,3,25,75
50,24/8/2023,CUST050,Female,27,Beauty,3,25,75
51,2/10/2023,CUST051,Male,27,Beauty,3,25,75
69,30/4/2023,CUST069,Female,56,Beauty,3,25,75
108,19/4/2023,CUST108,Female,27,Beauty,3,25,75
145,2/11/2023,CUST145,Female,39,Clothing,3,25,75
149,11/10/2023,CUST149,Male,22,Clothing,3,25,75
188,3/5/2023,CUST188,Male,40,Clothing,3,25,75
241,21/9/2023,CUST241,Female,23,Electronics,3,25,75
326,15/9/2023,CUST326,Female,18,Clothing,3,25,75
350,17/10/2023,CUST350,Male,25,Beauty,3,25,75
357,3/5/2023,CUST357,Female,40,Electronics,3,25,75
374,20/4/2023,CUST374,Female,59,Beauty,3,25,75
413,8/9/2023,CUST413,Female,44,Beauty,3,25,75
439,9/7/2023,CUST439,Male,50,Clothing,3,25,75
469,8/5/2023,CUST469,Male,18,Beauty,3,25,75
475,20/1/2023,CUST475,Male,26,Clothing,3,25,75
552,13/12/2023,CUST552,Female,49,Electronics,3,25,75
607,17/3/2023,CUST607,Male,54,Clothing,3,25,75
620,8/5/2023,CUST620,Male,63,Electronics,3,25,75
622,22/8/2023,CUST622,Female,49,Beauty,3,25,75
644,6/9/2023,CUST644,Male,23,Beauty,3,25,75
653,20/5/2023,CUST653,Male,54,Clothing,3,25,75
654,21/6/2023,CUST654,Male,42,Clothing,3,25,75
713,14/1/2023,CUST713,Male,34,Beauty,3,25,75
718,25/8/2023,CUST718,Female,59,Beauty,3,25,75
750,6/3/2023,CUST750,Female,35,Clothing,3,25,75
755,22/4/2023,CUST755,Female,58,Clothing,3,25,75
767,24/10/2023,CUST767,Male,39,Beauty,3,25,75
768,14/1/2023,CUST768,Female,24,Beauty,3,25,75
797,7/1/2023,CUST797,Male,40,Clothing,3,25,75
812,12/11/2023,CUST812,Male,19,Electronics,3,25,75
815,27/8/2023,CUST815,Female,51,Clothing,3,25,75
848,13/2/2023,CUST848,Female,63,Clothing,3,25,75
872,11/10/2023,CUST872,Female,63,Beauty,3,25,75
920,22/2/2023,CUST920,Female,28,Beauty,3,25,75
921,7/1/2023,CUST921,Male,51,Electronics,3,25,75
929,27/1/2023,CUST929,Female,23,Beauty,3,25,75
948,13/10/2023,CUST948,Female,23,Electronics,3,25,75
977,8/2/2023,CUST977,Female,35,Electronics,3,25,75
980,29/7/2023,CUST980,Female,31,Electronics,3,25,75
988,28/5/2023,CUST988,Female,63,Clothing,3,25,75
32,4/1/2023,CUST032,Male,30,Beauty,3,30,90
73,21/8/2023,CUST073,Male,29,Electronics,3,30,90
84,28/11/2023,CUST084,Female,38,Electronics,3,30,90
86,8/11/2023,CUST086,Male,19,Beauty,3,30,90
126,26/10/2023,CUST126,Female,28,Clothing,3,30,90
190,4/5/2023,CUST190,Female,60,Beauty,3,30,90
218,22/9/2023,CUST218,Male,64,Beauty,3,30,90
219,20/8/2023,CUST219,Female,53,Electronics,3,30,90
229,29/10/2023,CUST229,Male,58,Beauty,3,30,90
245,6/9/2023,CUST245,Male,47,Clothing,3,30,90
267,27/11/2023,CUST267,Female,32,Beauty,3,30,90
293,2/5/2023,CUST293,Male,50,Electronics,3,30,90
294,27/3/2023,CUST294,Female,23,Clothing,3,30,90
303,2/1/2023,CUST303,Male,19,Electronics,3,30,90
317,30/1/2023,CUST317,Male,22,Electronics,3,30,90
331,11/2/2023,CUST331,Male,28,Electronics,3,30,90
351,25/9/2023,CUST351,Female,56,Clothing,3,30,90
383,22/3/2023,CUST383,Female,46,Beauty,3,30,90
419,22/5/2023,CUST419,Female,44,Clothing,3,30,90
422,20/6/2023,CUST422,Female,28,Clothing,3,30,90
444,7/3/2023,CUST444,Female,61,Clothing,3,30,90
535,6/12/2023,CUST535,Male,47,Beauty,3,30,90
557,27/7/2023,CUST557,Female,20,Beauty,3,30,90
603,16/7/2023,CUST603,Female,40,Clothing,3,30,90
613,23/4/2023,CUST613,Female,52,Clothing,3,30,90
631,10/11/2023,CUST631,Male,56,Electronics,3,30,90
643,24/9/2023,CUST643,Female,28,Electronics,3,30,90
646,3/5/2023,CUST646,Male,38,Clothing,3,30,90
656,4/10/2023,CUST656,Male,29,Beauty,3,30,90
679,11/1/2023,CUST679,Female,18,Beauty,3,30,90
691,23/4/2023,CUST691,Female,51,Clothing,3,30,90
704,28/8/2023,CUST704,Female,62,Clothing,3,30,90
746,11/1/2023,CUST746,Female,33,Clothing,3,30,90
776,31/10/2023,CUST776,Male,35,Clothing,3,30,90
829,14/7/2023,CUST829,Male,61,Beauty,3,30,90
